,accuracy,f1_macro
GaussianNB,0.8557435440783615,0.8562653134922452
KNN (k=5),0.8913624220837043,0.89161501764154
DecisionTree,0.6108637577916296,0.6102859426840298
LogisticRegression,0.8788958147818343,0.8786626675461108
