,Mean,Std
GaussianNB,0.862726543869961,0.009976750765320605
KNN (k=5),0.8908966990053273,0.008683684134377813
DecisionTree,0.6123878180073115,0.011759187026717487
LogisticRegression,0.8802581981523518,0.012624696432600882
