,precision,recall,f1-score,support
rec.autos,0.8877005347593583,0.8924731182795699,0.8900804289544236,186.0
rec.sport.baseball,0.8736842105263158,0.8736842105263158,0.8736842105263158,190.0
rec.sport.hockey,0.893048128342246,0.8564102564102564,0.8743455497382199,195.0
sci.space,0.8781725888324873,0.9057591623036649,0.8917525773195877,191.0
talk.politics.guns,0.8388888888888889,0.8531073446327684,0.84593837535014,177.0
talk.politics.mideast,0.9010989010989011,0.8913043478260869,0.8961748633879781,184.0
accuracy,0.8788958147818343,0.8788958147818343,0.8788958147818343,0.8788958147818343
macro avg,0.8787655420746997,0.8787897399964438,0.8786626675461108,1123.0
weighted avg,0.8791390739933347,0.8788958147818343,0.8788996897176132,1123.0
