,precision,recall,f1-score,support
rec.autos,0.9034090909090909,0.8548387096774194,0.8784530386740331,186.0
rec.sport.baseball,0.8736263736263736,0.8368421052631579,0.8548387096774194,190.0
rec.sport.hockey,0.9142857142857143,0.8205128205128205,0.8648648648648649,195.0
sci.space,0.777292576419214,0.9319371727748691,0.8476190476190476,191.0
talk.politics.guns,0.7731958762886598,0.847457627118644,0.8086253369272237,177.0
talk.politics.mideast,0.9281437125748503,0.842391304347826,0.8831908831908832,184.0
accuracy,0.8557435440783615,0.8557435440783615,0.8557435440783615,0.8557435440783615
macro avg,0.8616588906839837,0.8556632899491229,0.8562653134922452,1123.0
weighted avg,0.8623382114841953,0.8557435440783615,0.8566245003732927,1123.0
