,precision,recall,f1-score,support
rec.autos,0.2122905027932961,0.20430107526881722,0.20821917808219179,186.0
rec.sport.baseball,0.18564356435643564,0.7894736842105263,0.30060120240480964,190.0
rec.sport.hockey,0.9473684210526315,0.09230769230769231,0.16822429906542055,195.0
sci.space,0.45454545454545453,0.10471204188481675,0.1702127659574468,191.0
talk.politics.guns,1.0,0.02824858757062147,0.054945054945054944,177.0
talk.politics.mideast,0.5294117647058824,0.1956521739130435,0.2857142857142857,184.0
accuracy,0.2377560106856634,0.2377560106856634,0.2377560106856634,0.2377560106856634
macro avg,0.55487661790895,0.2357825425259196,0.1979861310282016,1123.0
weighted avg,0.5527382897387384,0.2377560106856634,0.19897958636913105,1123.0
