,precision,recall,f1-score,support
rec.autos,0.8677248677248677,0.8817204301075269,0.8746666666666667,186.0
rec.sport.baseball,0.8877005347593583,0.8736842105263158,0.8806366047745358,190.0
rec.sport.hockey,0.8682926829268293,0.9128205128205128,0.89,195.0
sci.space,0.9016393442622951,0.8638743455497382,0.8823529411764706,191.0
talk.politics.guns,0.8324324324324325,0.8700564971751412,0.850828729281768,177.0
talk.politics.mideast,0.9137931034482759,0.8641304347826086,0.888268156424581,184.0
accuracy,0.8780053428317008,0.8780053428317008,0.8780053428317008,0.8780053428317008
macro avg,0.8785971609256764,0.8777144051603072,0.8777921830540037,1123.0
weighted avg,0.8789568891370944,0.8780053428317008,0.8781178918404839,1123.0
