,Mean,Std
MultinomialNB,0.8851227576166043,0.005752579618143068
KNN (k=5),0.18291514727460428,0.03112345902544369
DecisionTree,0.5919788256347823,0.010183331282491452
LogisticRegression,0.878217377078119,0.010890456930420239
