,precision,recall,f1-score,support
rec.autos,0.8707865168539326,0.8333333333333334,0.8516483516483516,186.0
rec.sport.baseball,0.8383838383838383,0.8736842105263158,0.8556701030927835,190.0
rec.sport.hockey,0.9153439153439153,0.8871794871794871,0.9010416666666666,195.0
sci.space,0.8300970873786407,0.8952879581151832,0.8614609571788413,191.0
talk.politics.guns,0.8426966292134831,0.847457627118644,0.8450704225352113,177.0
talk.politics.mideast,0.9137931034482759,0.8641304347826086,0.888268156424581,184.0
accuracy,0.8673196794300979,0.8673196794300979,0.8673196794300979,0.8673196794300979
macro avg,0.8685168484370144,0.866845508509262,0.8671932762577392,1123.0
weighted avg,0.868740038303129,0.8673196794300979,0.8675377438880109,1123.0
