,precision,recall,f1-score,support
rec.autos,0.5736842105263158,0.5860215053763441,0.5797872340425532,186.0
rec.sport.baseball,0.5951219512195122,0.6421052631578947,0.6177215189873417,190.0
rec.sport.hockey,0.6542553191489362,0.6307692307692307,0.6422976501305483,195.0
sci.space,0.6129032258064516,0.5968586387434555,0.6047745358090185,191.0
talk.politics.guns,0.5459770114942529,0.536723163841808,0.5413105413105413,177.0
talk.politics.mideast,0.6833333333333333,0.6684782608695652,0.6758241758241759,184.0
accuracy,0.6108637577916296,0.6108637577916296,0.6108637577916296,0.6108637577916296
macro avg,0.6108791752548003,0.6101593437930498,0.6102859426840298,1123.0
weighted avg,0.6115707939630391,0.6108637577916296,0.6109805043794332,1123.0
