,precision,recall,f1-score,support
rec.autos,0.8842105263157894,0.9032258064516129,0.8936170212765957,186.0
rec.sport.baseball,0.903954802259887,0.8421052631578947,0.8719346049046321,190.0
rec.sport.hockey,0.8443396226415094,0.9179487179487179,0.8796068796068796,195.0
sci.space,0.9095744680851063,0.8952879581151832,0.9023746701846965,191.0
talk.politics.guns,0.8695652173913043,0.903954802259887,0.8864265927977839,177.0
talk.politics.mideast,0.9476744186046512,0.8858695652173914,0.9157303370786517,184.0
accuracy,0.8913624220837043,0.8913624220837043,0.8913624220837043,0.8913624220837043
macro avg,0.893219842549708,0.8913986855251146,0.89161501764154,1123.0
weighted avg,0.8930317512421921,0.8913624220837043,0.8914952211626225,1123.0
