,Silhouette Score,Davies-Bouldin Index,Número de Clusters,Pontos de Ruído
K-Means,0.08510565627040384,2.7403506567413145,6.0,
DBSCAN,0.45495680139204764,0.6865943306355753,3.0,197.0
